C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-39.385674,-73.236563,-66.867586,-71.250922,-41.143741,-63.582307,-66.448028,-53.544665,-63.645234,-69.552525,-72.957090,-64.113586,0.000000
-37.382598,-73.388158,-60.963296,-70.101921,-36.491398,-63.714541,-68.888665,-47.881628,-63.060616,-57.793694,-64.610239,-53.542527,0.000000
-36.656777,-69.904749,-61.212886,-64.943867,-35.129432,-64.270209,-60.422611,-45.912751,-68.751459,-63.622975,-65.458369,-57.640448,0.000000
-37.540085,-72.360946,-57.849258,-69.409964,-34.784988,-64.990661,-68.179979,-46.361800,-65.197343,-73.281422,-71.457241,-56.857134,0.000000
-41.884933,-78.393514,-64.768937,-74.543322,-42.298790,-70.095904,-74.633959,-54.673904,-69.863397,-75.723628,-70.057314,-58.611205,0.000000
-32.466966,-67.792773,-54.579204,-63.075967,-32.769584,-63.565515,-58.900547,-44.011063,-64.119356,-57.935098,-66.823556,-52.945866,0.000000
-33.529738,-70.596386,-56.791542,-63.495074,-33.519234,-64.468319,-60.358886,-44.993682,-64.581573,-61.264472,-68.657644,-56.160686,0.000000
-40.777626,-79.797997,-64.290701,-69.165536,-40.225788,-67.244800,-64.899557,-51.635008,-68.529709,-69.310751,-75.940093,-60.668416,0.000000
-32.404311,-70.503110,-55.891218,-66.973897,-33.422456,-62.921268,-58.204297,-44.977292,-65.090848,-61.562622,-63.990159,-51.713845,0.000000
-33.928933,-71.583352,-49.822825,-67.421540,-36.918531,-59.063570,-65.113374,-46.095026,-64.666639,-59.168697,-64.220433,-53.739853,0.000000
-31.362982,-67.341127,-48.637458,-64.539941,-34.117535,-60.172531,-60.500113,-46.476236,-64.266515,-57.504937,-62.462914,-52.797136,0.000000
-31.277102,-67.858709,-50.841597,-62.942318,-33.146438,-63.893770,-60.665565,-45.984842,-66.792597,-61.078005,-63.530397,-49.153129,0.000000
-32.188308,-69.865354,-53.817196,-67.203494,-35.290968,-65.021820,-66.291393,-45.141878,-66.168612,-56.918728,-65.102945,-54.518642,0.000000
-35.846501,-71.766063,-51.928489,-67.695027,-32.483020,-60.781021,-66.212794,-45.999881,-62.875384,-56.719403,-69.814316,-51.574572,0.000000
-37.245229,-65.508082,-59.748385,-70.947590,-39.942919,-60.630409,-51.314258,-52.443124,-62.466113,-66.555855,-70.121427,-59.662210,0.000000
-31.118305,-64.631200,-55.359905,-68.995769,-35.948018,-61.973572,-60.904488,-47.634076,-59.137120,-51.906525,-59.594833,-52.980921,0.000000
-32.756576,-65.410153,-51.846169,-64.682453,-33.053627,-60.789491,-60.378542,-46.889497,-65.106741,-50.546872,-59.234772,-54.228187,0.000000
-34.346749,-68.791442,-54.491084,-62.819630,-32.816256,-63.910999,-57.425528,-45.985944,-62.454186,-58.448488,-65.426956,-54.741049,0.000000
-32.165276,-65.924437,-54.806839,-66.794061,-32.776159,-61.692946,-60.062831,-45.206643,-63.046900,-61.310427,-65.718004,-56.295870,0.000000
-32.854804,-69.357097,-51.937473,-65.097450,-34.275031,-58.383472,-62.109116,-45.118538,-59.354943,-54.410865,-62.425276,-53.742931,0.000000
-38.155719,-68.045594,-54.856147,-58.967477,-36.470456,-57.832212,-57.565301,-45.779178,-62.797586,-54.983126,-61.400844,-59.678665,0.000000
-33.354743,-69.148487,-54.441520,-62.202028,-34.437562,-63.855321,-64.860107,-45.748728,-62.980004,-58.059277,-63.372229,-58.620583,0.000000
-34.527761,-66.547446,-58.695780,-64.097889,-34.568690,-64.315443,-61.062667,-45.641100,-65.291605,-54.025178,-61.000240,-58.773055,0.000000
-38.754538,-70.506031,-59.252380,-67.895460,-37.639530,-63.722351,-61.949184,-48.891984,-62.677720,-59.657082,-63.294224,-55.625908,0.000000
-37.798898,-71.061114,-58.955528,-65.852530,-37.652689,-60.763520,-63.544324,-47.811754,-60.488151,-63.468617,-62.016465,-56.987486,0.000000
-36.341249,-67.039991,-54.294696,-69.261056,-36.324759,-64.739564,-60.636972,-45.476874,-58.198224,-58.510250,-58.939054,-52.239354,0.000000
-37.785430,-74.741401,-60.048848,-74.190653,-38.253889,-64.744798,-63.254020,-49.027149,-64.864565,-66.918193,-62.789114,-53.701987,0.000000
-34.351077,-73.112143,-57.982075,-63.961458,-34.335676,-64.071604,-63.952343,-46.672876,-64.626478,-57.495139,-64.289729,-57.541837,0.000000
-32.321702,-70.418806,-49.660606,-62.984888,-32.143551,-63.559299,-64.478361,-46.734931,-61.095194,-58.017009,-63.286530,-53.264507,0.000000
-37.365310,-73.890667,-60.493398,-71.327287,-41.608900,-65.962043,-63.694287,-53.028428,-63.807906,-61.333538,-68.292662,-54.379977,0.000000
-32.461074,-68.098157,-53.381454,-59.435298,-36.042277,-62.926259,-65.406225,-44.759754,-63.100165,-57.992756,-63.326396,-53.293108,0.000000
-31.637420,-66.918934,-55.025182,-63.252329,-34.565020,-62.159087,-58.274575,-47.106083,-62.577425,-62.857615,-64.041439,-54.136048,0.000000
-32.567112,-70.856473,-52.995588,-60.546634,-33.061143,-59.135758,-59.509549,-46.294329,-63.546051,-55.121802,-59.854145,-52.255381,0.000000
-32.758189,-71.106784,-63.121692,-66.856748,-33.153467,-58.357628,-58.261167,-46.240148,-63.614259,-60.483524,-62.386701,-51.593920,0.000000
-32.492289,-68.857905,-56.599866,-65.731921,-34.234628,-61.783519,-59.331433,-46.642293,-55.261409,-59.059048,-61.932966,-51.468434,0.000000
-33.316485,-64.995069,-52.878348,-63.042718,-34.012276,-64.601126,-65.304815,-47.507892,-59.903684,-57.116698,-64.159010,-56.896326,0.000000
-31.846289,-64.531148,-51.546583,-69.094931,-36.619662,-64.649605,-63.693306,-46.229956,-60.438083,-52.236812,-61.620146,-53.762611,0.000000
-33.381830,-63.429553,-60.687194,-65.413294,-33.553300,-60.899607,-41.315102,-45.493217,-67.198403,-52.149518,-60.982406,-51.495493,0.000000
-31.799482,-65.472153,-53.060329,-64.520813,-33.887457,-63.742985,-54.973459,-45.123032,-63.891837,-54.884146,-62.812223,-51.525452,0.000000
-33.759166,-72.100273,-56.051779,-65.452174,-33.871657,-60.627454,-64.794798,-46.933580,-64.049394,-59.334459,-63.098526,-51.274421,0.000000
-35.651296,-73.280314,-57.325691,-63.112128,-33.262667,-63.735471,-63.744814,-45.675724,-62.372559,-54.067676,-62.302206,-52.102712,0.000000
-50.319387,-71.476299,-57.457612,-66.771198,-35.754774,-62.297266,-57.985563,-46.038160,-66.861927,-58.772490,-67.872182,-50.932885,0.000000
-36.246307,-68.494728,-57.747828,-68.729925,-36.056203,-64.167138,-58.788904,-45.919694,-56.513867,-59.286167,-66.861992,-52.213091,0.000000
-31.759844,-72.665255,-56.339622,-66.751545,-33.624138,-62.225216,-62.181035,-45.045127,-63.225885,-61.729506,-64.205566,-50.895904,0.000000
-32.242426,-65.256990,-59.907874,-64.438891,-33.809887,-59.997496,-61.445838,-47.381801,-68.703133,-53.454107,-64.995255,-52.010562,0.000000
-34.435474,-71.751873,-54.841456,-63.177862,-34.174418,-64.473538,-61.446139,-47.155482,-63.237575,-62.598460,-62.462774,-57.082717,0.000000
-31.504816,-67.783230,-60.820781,-63.435466,-33.992805,-59.503056,-57.619159,-47.474788,-59.564063,-55.942304,-69.417377,-52.585789,0.000000
-31.693855,-65.744874,-57.450631,-65.084088,-33.386098,-61.196178,-58.177720,-46.754413,-64.218686,-56.477815,-63.555871,-50.247214,0.000000
-32.390945,-68.090216,-57.171423,-67.680912,-34.338021,-61.665105,-57.366900,-47.435025,-53.895695,-57.797999,-66.461519,-48.388535,0.000000
-39.637435,-68.569674,-53.790853,-61.754531,-32.938370,-61.079355,-63.682176,-44.178437,-62.251499,-59.364324,-69.110788,-51.555543,0.000000
-41.464829,-67.340655,-51.297213,-68.703345,-34.232240,-59.823811,-60.243693,-43.889264,-60.204444,-56.367035,-70.096411,-49.497230,0.000000
-35.691556,-66.330986,-58.908454,-64.357703,-36.482415,-63.746221,-59.046636,-44.291135,-62.514259,-58.861332,-66.996165,-51.781588,0.000000
-32.491793,-66.057298,-53.767611,-63.179876,-34.077890,-58.357798,-64.532139,-45.920068,-63.033677,-57.077911,-60.577412,-55.491912,0.000000
-32.176304,-69.106384,-53.033220,-67.320899,-35.784456,-59.850804,-62.345981,-46.393005,-62.374966,-55.509044,-63.082688,-51.708323,0.000000
-34.056176,-67.244392,-54.446210,-64.947073,-35.048814,-61.284502,-64.031294,-44.571305,-56.380624,-65.897289,-64.746594,-52.873133,0.000000
-34.024035,-69.750162,-55.359994,-61.489424,-36.250387,-59.139531,-55.814076,-45.762198,-62.115084,-56.437832,-64.807765,-51.730082,0.000000
-32.111722,-68.259000,-53.960888,-65.314501,-36.303480,-61.624256,-53.114508,-45.810025,-57.869828,-53.124491,-62.915823,-51.962386,0.000000
-29.980147,-66.659665,-52.189710,-61.001058,-32.623258,-61.983697,-62.879506,-43.257671,-64.173529,-58.066204,-61.499684,-50.835808,0.000000
-33.684565,-66.206548,-49.021753,-62.186656,-32.415402,-55.607543,-52.422568,-44.420498,-65.469493,-60.377139,-58.595469,-50.343426,0.000000
-32.502857,-67.066610,-50.995434,-62.093210,-35.983010,-58.481188,-64.022959,-44.496491,-64.822318,-59.196605,-63.442135,-50.626569,0.000000
-32.968425,-69.982568,-55.022779,-63.312830,-33.984981,-61.506494,-52.637765,-44.402931,-62.229982,-64.409675,-66.169566,-51.307391,0.000000
-31.123812,-65.230427,-51.328281,-63.004252,-33.706243,-62.095899,-61.487333,-44.699599,-62.248633,-56.902288,-60.015316,-49.117501,0.000000
-30.780521,-67.548661,-52.483597,-71.014914,-33.678822,-61.732606,-63.139516,-44.064240,-66.324014,-54.970273,-62.007492,-49.916676,0.000000
-32.133689,-71.693686,-54.566007,-62.285881,-33.293667,-62.341075,-58.499999,-45.136020,-66.974815,-54.349776,-64.206707,-49.870745,0.000000
-35.896545,-72.418934,-56.331391,-65.449217,-34.914322,-64.188262,-60.241369,-43.340813,-64.548360,-57.168365,-65.513244,-51.930227,0.000000
-30.658914,-63.798625,-50.510521,-68.380193,-33.829269,-56.729842,-58.173143,-45.366930,-60.811324,-60.657111,-64.931889,-48.512082,0.000000
-32.721780,-67.708199,-51.364058,-65.340768,-35.104548,-58.548657,-57.212125,-45.278122,-64.968055,-60.802864,-65.436414,-50.820464,0.000000
-30.272687,-66.861210,-50.982469,-59.823297,-32.955279,-59.273062,-59.145206,-42.936485,-62.904009,-60.420803,-66.994792,-51.759005,0.000000
-30.483222,-63.194084,-50.818203,-63.409370,-33.270937,-59.814214,-55.257336,-45.186465,-66.542431,-51.620049,-66.275544,-50.692608,0.000000
-32.083888,-69.482568,-48.993336,-59.074623,-37.407385,-59.843795,-60.841344,-43.534088,-65.173154,-58.990203,-65.445063,-55.066180,0.000000
-30.900349,-67.130323,-48.307651,-62.845124,-33.796484,-59.679770,-60.252261,-44.465623,-62.817383,-61.676479,-64.789996,-51.855240,0.000000
-30.716822,-64.784333,-52.740761,-63.445131,-33.479676,-57.493127,-57.228888,-45.201725,-64.820644,-58.495211,-62.161449,-53.237818,0.000000
-34.877867,-66.603426,-54.403939,-60.322695,-33.380920,-60.674618,-60.449008,-44.820050,-64.665328,-64.625831,-63.555337,-50.564674,0.000000
-30.616167,-65.606706,-51.674243,-59.937286,-34.105685,-59.426055,-59.356037,-44.927576,-64.733013,-55.013736,-66.557959,-49.354916,0.000000
-44.390769,-72.397987,-55.614782,-63.086165,-33.755906,-63.721386,-59.415605,-45.175489,-62.788264,-62.698116,-60.650632,-53.205442,0.000000
-36.242050,-75.281027,-55.094492,-62.457668,-34.791306,-63.160477,-61.130678,-44.752472,-63.835897,-61.675775,-72.102510,-52.984909,0.000000
-29.910727,-65.654913,-60.139287,-63.283848,-31.297175,-62.581742,-59.631664,-42.424868,-61.109757,-57.215370,-60.202860,-51.789104,0.000000
-47.923350,-68.840726,-55.509746,-59.119667,-32.227366,-61.421994,-56.963390,-42.392424,-60.895922,-62.645952,-56.487463,-48.194168,0.000000
-30.217507,-64.035710,-53.210732,-59.873862,-32.133725,-53.036669,-58.244803,-44.384735,-58.734077,-58.650713,-61.158121,-49.299011,0.000000
-28.580045,-65.451284,-52.305961,-61.795162,-31.771712,-56.253208,-57.786070,-43.291401,-63.863885,-51.776470,-59.650253,-46.736915,0.000000
-28.550185,-63.968796,-51.006184,-62.760053,-32.758722,-56.778120,-56.705651,-43.586425,-57.255347,-52.032259,-60.882616,-47.489650,0.000000
-30.340086,-69.078266,-48.631606,-66.187045,-33.713236,-52.623675,-61.174576,-44.768055,-58.814216,-53.813039,-59.315795,-49.065878,0.000000
-29.539197,-64.898144,-50.687220,-63.522095,-31.838319,-57.190506,-49.859886,-44.903066,-66.333061,-49.661657,-61.962480,-48.067860,0.000000
-28.699509,-66.509939,-56.327163,-59.914286,-32.224489,-55.386231,-63.114083,-44.190316,-55.157127,-54.847813,-59.036828,-46.051413,0.000000
-31.774558,-69.873824,-49.262039,-63.623102,-32.573562,-60.162038,-60.909989,-44.076042,-55.507943,-49.721224,-60.421367,-47.063451,0.000000
-29.947876,-66.978920,-48.961003,-63.530322,-33.268391,-58.467871,-58.888541,-43.694216,-61.056250,-57.252365,-64.603496,-51.266949,0.000000
-30.326527,-69.089291,-50.471282,-64.950601,-33.883446,-59.058061,-64.008664,-45.744776,-63.986348,-56.774366,-63.038281,-52.650388,0.000000
