C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
0.673586,0.013673,0.028464,0.017184,0.550161,0.041549,0.029873,0.131960,0.041249,0.020895,0.014120,0.039084,0.000000
0.557040,0.008823,0.036885,0.012880,0.617229,0.026871,0.014811,0.166316,0.028972,0.053129,0.024238,0.086674,0.000000
0.528517,0.011499,0.031279,0.020357,0.630124,0.021998,0.034258,0.182079,0.013132,0.023700,0.019186,0.047193,0.000000
0.500220,0.009081,0.048273,0.012755,0.686935,0.021214,0.014695,0.181165,0.020716,0.008168,0.010076,0.054114,0.000000
0.558796,0.008353,0.040092,0.013012,0.532796,0.021712,0.012877,0.128176,0.022301,0.011358,0.021809,0.081459,0.000000
0.642732,0.011009,0.050399,0.018949,0.620725,0.017910,0.030644,0.170147,0.016804,0.034247,0.012308,0.060825,0.000000
0.627146,0.008791,0.043080,0.019911,0.627905,0.017801,0.028570,0.167560,0.017570,0.025741,0.010989,0.046326,0.000000
0.540680,0.006052,0.036082,0.020585,0.576146,0.025679,0.033639,0.154907,0.022148,0.020243,0.009437,0.054752,0.000000
0.653535,0.008134,0.043744,0.012212,0.581248,0.019472,0.033517,0.153681,0.015168,0.022769,0.017218,0.070761,0.000000
0.684753,0.008970,0.109860,0.014485,0.485349,0.037914,0.018893,0.168744,0.019891,0.037458,0.020939,0.069982,0.000000
0.688752,0.010943,0.094262,0.015108,0.501574,0.024980,0.024055,0.120893,0.015591,0.033960,0.019190,0.058392,0.000000
0.675069,0.010006,0.070978,0.017623,0.544354,0.015795,0.022905,0.124154,0.011313,0.021843,0.016470,0.086208,0.000000
0.722960,0.009446,0.059934,0.012834,0.505803,0.016498,0.014255,0.162718,0.014458,0.041937,0.016345,0.055284,0.000000
0.479901,0.007677,0.075345,0.012267,0.706847,0.027191,0.014549,0.149102,0.021365,0.043402,0.009611,0.078478,0.000000
0.610676,0.023587,0.045778,0.012609,0.447637,0.041357,0.120881,0.106149,0.033479,0.020906,0.013868,0.046234,0.000000
0.728181,0.015367,0.044685,0.009297,0.417593,0.020868,0.023601,0.108755,0.028927,0.066501,0.027442,0.058764,0.000000
0.612800,0.014277,0.068052,0.015525,0.592197,0.024304,0.025481,0.120413,0.014785,0.079032,0.029068,0.051729,0.000000
0.547196,0.010373,0.053818,0.020630,0.652631,0.018194,0.038389,0.143279,0.021516,0.034124,0.015280,0.052291,0.000000
0.646120,0.013254,0.047669,0.011992,0.602239,0.021574,0.026028,0.143961,0.018460,0.022545,0.013573,0.040159,0.000000
0.631139,0.009441,0.070144,0.015417,0.535937,0.033396,0.021748,0.153794,0.029862,0.052762,0.020970,0.056979,0.000000
0.475307,0.015222,0.069495,0.043290,0.577082,0.049334,0.050874,0.197607,0.027854,0.068486,0.032713,0.039887,0.000000
0.625424,0.010151,0.055187,0.022585,0.552121,0.018670,0.016631,0.150133,0.020650,0.036387,0.019738,0.034110,0.000000
0.585459,0.014673,0.036232,0.019453,0.582707,0.018972,0.027590,0.162866,0.016955,0.062033,0.027789,0.035911,0.000000
0.513842,0.013282,0.048522,0.017938,0.584225,0.029003,0.035571,0.159940,0.032709,0.046313,0.030468,0.073665,0.000000
0.557054,0.012100,0.048760,0.022040,0.566510,0.039597,0.028749,0.175895,0.040873,0.029001,0.034278,0.061160,0.000000
0.555193,0.016200,0.070270,0.012545,0.556248,0.021112,0.033858,0.193938,0.044833,0.043251,0.041167,0.089030,0.000000
0.615062,0.008732,0.047397,0.009304,0.582769,0.027603,0.032771,0.168591,0.027225,0.021492,0.034573,0.098422,0.000000
0.619024,0.007139,0.040753,0.020473,0.620122,0.020215,0.020495,0.149836,0.018964,0.043103,0.019714,0.042872,0.000000
0.632037,0.007868,0.085861,0.018518,0.645134,0.017333,0.015592,0.120249,0.023018,0.032808,0.017885,0.056702,0.000000
0.638007,0.009518,0.044506,0.012786,0.391423,0.023713,0.030788,0.105116,0.030388,0.040403,0.018133,0.089969,0.000000
0.687726,0.011365,0.061858,0.030811,0.455360,0.020614,0.015494,0.166910,0.020205,0.036377,0.019686,0.062490,0.000000
0.700857,0.012066,0.047451,0.018403,0.500322,0.020871,0.032642,0.118085,0.019890,0.019258,0.016805,0.052565,0.000000
